PROVINCIA;HORARIO DEL SERVICIO;DIAS HABILES;RUTA;COSTO;TIPO DE TRANSPORTE;VEHICULOS X RUTA;ORIGEN ;DESTINO;FEDERACION/SINDICATO;TIPO DE LICENCIA;ESTADO;FECHA_ACTUALIZACION
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-101B;40;MINIBUS;27;N/A;N/A;ASOCIÓN DE TRANSPORTISTAS DE PASAJEROS (ASOTRAPA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-101C;45;MINIBUS;122;N/A;N/A;ASOCIÓN DE TRANSPORTISTAS DE PASAJEROS (ASOTRAPA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-101D;40;MINIBUS;5;N/A;N/A;ASOCIÓN DE TRANSPORTISTAS DE PASAJEROS (ASOTRAPA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;A-31 (Inactiva);35;AUTOBUS;38;N/A;N/A;CARIBE TOURS (CARIBE TOURS);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-69;35;CARRO;16;N/A;N/A;COMPAÑIA DE CHOFERES NOCTURNOS LOS RÍOS (COMCHONORIOS);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-3;35;CARRO;56;N/A;N/A;COMPAÑIA DE TRANSPORTE ADOCHOUDIS (ADOCHOUDIS);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-53;40;CARRO;181;N/A;N/A;COMPAÑIA DE TRANSPORTE COMTRAPROCHOAL, S.R.L. (COMTRAPROCHOALR53, S.R.L.);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-53B;40;CARRO;37;N/A;N/A;COMPAÑIA DE TRANSPORTE NOCTURNO LOS ALCARRIZOS (COMTRANOAL);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-89;40;CARRO;121;N/A;N/A;COMPAÑIA DE TRANSPORTE PANTOJA-KM 9 (COMTRAPARK,SRL) (COMTRAPARK, SRL);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-116;35;CARRO;30;N/A;N/A;COMPAÑIA DE TRANSPORTE DE PROPIEDADES DE CARROS DE SAN ISIDRO (COMTRAPROCASI);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-26;40;MICROBUS;59;N/A;N/A;COMPAÑÍA DE TRANSPORTE Y SERVICIOS PALMAREJO VILLA LINDA, S.R.L.  (COMTRASEPALVIL);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-22-28;60;CARRO;30;N/A;N/A;COMPAÑÍA DE TRANSPORTE PEDRO BRAND SANTO DOMINGO (CONTRAPEBRASAN);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-73 A;35;CARRO;116;N/A;N/A;COMPAÑÍA DE TRANSPORTE VARGAS Y CATALINO (CONTRATUVARCA A);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-73 B;35;CARRO;138;N/A;N/A;COMPAÑÍA DE TRANSPORTE VARGAS Y CATALINO (CONTRATUVARCA B);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-73 C;35;CARRO;46;N/A;N/A;COMPAÑÍA DE TRANSPORTE VARGAS Y CATALINO (CONTRATUVARCA C);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-107;35;CARRO;329;N/A;N/A;COMPAÑIA DE TRANSPORTE URBANO SAN FELIPE, S.R.L.  (CONTRAUSAFE);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-57;50;CARRO;55;N/A;N/A;COMPAÑIA DE TRANSPORTE EXPRESO LA VICTORIA S.R.L.,CONTRAVIC (CONTRAVIC);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-41A;40;MINIBUS;19;N/A;N/A;COOPERATIVA DE AHORRO, CRÉDITO, SERVICIOS MÚLTIPLES TRANSPORTE (COOPMIBARRIO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-23;40;CARRO;95;N/A;N/A;COOPERATIVA DE AHORROS, CREDITOS Y SERVICIOS MULTIPLES PROFESOR SIMON OROZCO. (COOP-RUTA 23);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-5A;40;MICROBUS;107;N/A;N/A;COOPERATIVA DE TRANSPORTE Y SERVICIOS MÚLTIPLES INDEPENDENCIA (COOTRASMIND);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-4;35;MINIBUS;10;N/A;N/A;CORREDOR RUTA-4 (CORREDOR RUTA-4);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-112;40;CARRO;135;N/A;N/A;COMPAÑIA DE TRANSPORTE ANGELES PERALEJOS, S A (COTRAAP);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-22-28;60;CARRO;298;N/A;N/A;COMPAÑIA DE TRANSPORTE DE PEDRO BRAND. (COTRABRAND);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-98;35;CARRO;7;N/A;N/A;COMPAÑIA DE TURISMO Y EXPORTACION VARGAS Y CATALINO,SRL (COMTRATUVARCA 73-A);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-45;40;MICROBUS;44;N/A;N/A;TRANSPORTE DE JESUS CRUZ (DE JESUS CRUZ);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-70;35;CARRO;249;N/A;N/A;FEDERACIÓN NACIONAL DE TRANSPORTISTAS AMIGOS DE PEÑA GÓMEZ (FENATRAPEGO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-113;35;CARRO;206;N/A;N/A;FEDERACION DE TRANSPORTISTA AMIGOS DE PEÑA GÓMEZ (FENATRAPEGO B);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-53;40;MICROBUS;52;N/A;N/A;TRANSPORTE MARRERO S.A. (MARRERO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-71;35;CARRO;90;N/A;N/A;MI EXPRESS RUTA 071 COMPAÑIA DE TRANSPORTE (MI EXPRESS);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-21;35;CARRO;111;N/A;N/A;COMPAÑIA DE TRANSPORTE MIPROGASETT (MIPROGASETT);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-29;35;CARRO;339;N/A;N/A;COMPAÑIA DE TRANSPORTE COMTRAPROCHOAL,S.R.L. (COMTRAPROCHOALR29, S.R.L.);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-100A;50;MICROBUS;62;N/A;N/A;EXPRESO RUTA 100 (EXPRESO RUTA 100);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-100B;50;MINIBUS;70;N/A;N/A;EXPRESO RUTA 100 (EXPRESO RUTA 100);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-103;45;MINIBUS;18;N/A;N/A;SICHOMIL 103 LA VICTORIA, S.R.L. (RUTA 103);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-105;35;CARRO;31;N/A;N/A;ASOCIACIÓN DE DUEÑOS DE CARROS DE ZONA FRANCA (RUTA 105);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-10B;40;MINIBUS;24;N/A;N/A;COMPAÑIA DE TRANSPORTE VICTOR HUGO,SRL ();Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-16C;45;MINIBUS;31;N/A;N/A;RUTA 16C (16C);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-25A;35;MICROBUS;16;N/A;N/A;SINDICATO CHOFERES DE MINIBUSES DE LA AV. 25 DE FEBRERO (25 DE FEBRERO 025A);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-25B;35;MICROBUS;18;N/A;N/A;SINDICATO CHOFERES DE MINIBUSES DE LA AV. 25 DE FEBRERO (25 DE FEBRERO 025B);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-25C;35;MICROBUS;8;N/A;N/A;SINDICATO CHOFERES DE MINIBUSES DE LA AV. 25 DE FEBRERO (25 DE FEBRERO 025C);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-32;45;MICROBUS;67;N/A;N/A;COMPAÑIA DE TRANSPORTE PUBLICO DE PROPIETARIOS Y CHOFERES AMAURY (RUTA 32);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-38;40;MICROBUS;95;N/A;N/A;RUTA 38 BRISAS DEL ESTE, TRANSPORTE DE SERVICIOS MÚLTIPLES (RUTA 38);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-54;40;MICROBUS;22;N/A;N/A;RUTA 54 (RUTA 54);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-64;40;MICROBUS;29;N/A;N/A;TRANSPORTE A. CRUZ & ASOCIADOS (RUTA 64);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-66A;45;MINIBUS;19;N/A;N/A;TRANSPORTE DE PASAJEROS DE QUITA SUEÑO CXA (QUITA SUEÑO 066A);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-66B;45;MINIBUS;17;N/A;N/A;TRANSPORTE DE PASAJEROS DE QUITA SUEÑO CXA (QUITA SUEÑO 066B);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-66C;45;MINIBUS;16;N/A;N/A;TRANSPORTE DE PASAJEROS DE QUITA SUEÑO CXA (QUITA SUEÑO 066C);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-66D;45;MINIBUS;16;N/A;N/A;TRANSPORTE DE PASAJEROS DE QUITA SUEÑO CXA (QUITA SUEÑO 066D);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;A-69;45;AUTOBUS;19;N/A;N/A;COOPERATIVA DE SERVICIOS NUEVA IMAGEN (RUTA 69);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-18;35;CARRO;296;N/A;N/A;SERVICIO DE TRANSPORTE CABRERA-SILVERIO (SERTRACASI );Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-49;35;CARRO;351;N/A;N/A;SERVICIO DE TRANSPORTE MULTIPLES DE SANTO DOMINGO NORTE, S.R.L.  (SETRAMUNORTE);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-65;30;CARRO;126;N/A;N/A;SERVICIO DE TRANSPORTE UNIDAD Y DESARROLLO,SETRAUDE,S.R.L. (SETRAUDE );Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-103;35;CARRO;253;N/A;N/A;SINDICATO DE CHOFERES DE LAS AMÉRICAS (SICHOAMERICA);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;C-44 C;40;CARRO;146;N/A;N/A;SINDICATO DE CHOFERES DE LOS TRES BRAZOS (SICHOBRAZO);Urbano;N/A;18/7/2025
SANTO DOMINGO;5:30 a.m. a 10:30 p.m.;7;M-44;40;MINIBUS;19;N/A;N/A;SINDICATO DE CHOFERES DE LOS TRES BRAZOS (SICHOBRAZO);Urbano;N/A;18/7/2025
